word,emoji,desc
methane, 🛢️, 甲烷，沼气
natural, 🌿, 正常的，普通的，自然的；自然界的，天然的；天赋的，固有的
hectare, 📐, 公顷
zoological, 🦁, 动物学的
crocodile, 🐊, 鳄鱼；鳄鱼皮
odour, 👃, 气味
silt, 🏜️, 淤泥；（用淤泥）阻塞
erosion, ⛰️, 腐蚀；磨损
feather, 🪶, 羽毛，翎毛
vertebrate, 🦴, 脊柱动物；有脊柱的
fauna, 🦊, （某地区或某时期的）所有动物
equator, 🌍, （地球）赤道
earthquake, 🫨, 地震
leopard, 🐆, 豹，美洲豹
migratory, 🗺️, 迁徙的，迁居的；流动的，游牧的
desert, 🏜️, 沙漠；荒地；沙漠的；荒凉的；舍弃
ecosystem, 🌲, 生态系统
exotic, 🌺, 外来的；奇异的；醒目的，吸引人的
alluvial, 🌊, 冲积的，淤积的；冲积土
fossil, 🦴, 化石；老顽固
delta, 🔻, 三角洲
dormancy, 💤, 休眠；催眠状态；冬眠；隐匿
atmospheric, ☁️, 大气的，空气的；大气层的
volcano, 🌋, 火山
tropical, 🏝️, 热带的；炎热的
dioxide, 🌫️, 二氧化物
blaze, 🔥, 熊熊燃烧；发（强）光；火焰
fragrance, 🌸, 芳香，香味；香水
ripe, 🍎, 成熟的；时机成熟的
habitat, 🏡, 栖息地，住处
conserve, ♻️, 保护；保存，储存；节约
hinterland, 🏔️, 内地，腹地，内陆
fumes, 💨, 烟，气，汽
pesticide, 🧪, 杀虫剂，农药
breeze, 🍃, 微风，和风
hive, 🐝, 蜂房，蜂箱；忙碌之地
calf, 🐮, 牛犊；崽，幼兽
larva, 🐛, 幼虫，幼体
crater, 🌑, 火山口；坑
clay, 🏺, 泥土，黏土
mineral, 💎, 矿物，矿石
pest, 🪲, 害虫
rot, 🍄, 腐烂
shrub, 🪴, 灌木
buffalo, 🐃, 水牛；野牛
topsoil, 🌱, 表层土
thunder, ⛈️, 雷；雷声
weed, 🌿, 杂草
flame, 🔥, 火焰；强烈的感情
hawk, 🦅, 鹰，隼
swamp, 🐊, 淹没；使应接不暇；沼泽
mite, 🕷️, 极小量；螨虫
grove, 🌳, 树丛
agriculture, 🚜, 农业；农学
sediment, ⏳, 沉淀物；沉积物
mammal, 🐎, 哺乳动物
jungle, 🌴, 丛林
stem, 🎋, 茎；（树）干；词干
glacial, 🧊, 冰期的；冰川的；寒冷的
oak, 🌳, 橡树，橡木
poultry, 🐔, 家禽；禽肉
fallow, 🌾, 休耕的；休闲的
pearl, 🦪, 珍珠
emission, 💨, 散发；散发物
dormant, 💤, 休眠的；静止的；隐匿的
eruption, 🌋, 爆发；发作
meadow, 🍀, 草地
salinity, 🧂, 盐分，盐度
vegetation, 🌿, 植物，草木
wildlife, 🐾, 野生生物
limestone, 🧱, 石灰石，石灰岩
acid, 🧪, 酸
ozone layer, 🌍, 臭氧层
arboreal, 🌳, 树木的；栖于树木的
estuary, 🌊, （江河入海口的）河口，河口湾
revegetate, 🌱, 再生长，再植
dispersal, 🌬️, 散布，分散；消散，疏散
lava, 🌋, 岩浆，熔岩
earthworm, 🪱, 蚯蚓；小人
bark, 🌳, 树皮
burrow, 🕳️, 挖掘，钻进；地洞
flint, 🪨, 火石，打火石
