word,emoji,desc
one,1️⃣,一
two,2️⃣,二
three,3️⃣,三
four,4️⃣,四
five,5️⃣,五
six,6️⃣,六
seven,7️⃣,七
eight,8️⃣,八
nine,9️⃣,九
ten,🔟,十
eleven,1️⃣1️⃣,十一
twelve,1️⃣2️⃣,十二
thirteen,1️⃣3️⃣,十三
fourteen,1️⃣4️⃣,十四
fifteen,1️⃣5️⃣,十五
sixteen,1️⃣6️⃣,十六
seventeen,1️⃣7️⃣,十七
eighteen,1️⃣8️⃣,十八
nineteen,1️⃣9️⃣,十九
twenty,2️⃣0️⃣,二十
twenty-one,2️⃣1️⃣,二十一
twenty-two,2️⃣2️⃣,二十二
twenty-three,2️⃣3️⃣,二十三
thirty,3️⃣0️⃣,三十
forty,4️⃣0️⃣,四十
fifty,5️⃣0️⃣,五十
sixty,6️⃣0️⃣,六十
seventy,7️⃣0️⃣,七十
eighty,8️⃣0️⃣,八十
ninety,9️⃣0️⃣,九十
one hundred,💯,一百
