word,emoji,desc
electrical, ⚡, 电的，电学的，有关电的
electronic, 💻, 电子的
roll film, 🎞️, 胶卷
nuclear, ☢️, 核能的，原子能的
density, 🧊, 密集；浓度，密度
input, 📥, 投入，输入；输入的数据
ion, ⚛️, 离子
mechanical, ⚙️, 机械的；机械制造的；呆板的
database, 🗄️, 数据库
microprocessor, 🧠, 微处理器
synthesis, 🧪, 综合，合成
apparatus, 🧪, 器械，器具，仪器；机构
turbine, 🌀, 涡轮机，汽轮机
ventilation, 🌬️, 空气流通；通风设备
physical, ⚛️, 身体的；物理的；物质的
variation, 🧬, 变化；变动；变种；变异
genetic, 🧬, 遗传的；遗传学
biological, 🦠, 生物的；生物学的
submarine, ⚓, 潜水艇；水底的
instrument, 🎻, 仪器；手段；工具；乐器
atomic, ⚛️, 原子（能）的
gadget, ⚙️, 小巧的器械，精巧的装置
bulb, 💡, 灯泡
organic, 🥗, 器官的；有机的；组织的
pulley, 🎡, 滑轮；滑车
explosive, 🧨, 爆炸物，炸药；爆炸的
lever, 🕹️, 撬动；杠杆；施压手段
evaporate, 💨, （使）蒸发；消失
distill, ⚗️, （使）蒸馏，提取
radius, 📏, 半径；周围，范围
insulation, 🧱, 隔绝；绝缘；隔热
fuel, ⛽, 燃料；给……加燃料
illuminate, 💡, 照亮；阐明；启发
dimension, 📏, 尺寸；度；方面；维
resistant, 🛡️, 抵抗的，有抵抗力的
magnetic, 🧲, 磁的，有磁性的；有吸引力的
homogeneous, 🧊, 同种类的；由相同事物组成的
screen, 📺, 屏幕；银幕；遮蔽；放映
extinguisher, 🧯, 灭火器；灭火者
robotic, 🤖, 机器人的；呆板的
stripe, 🦓, 条纹
detect, 🔍, 发现；察觉；侦查；探测
cosmic, 🌌, 宇宙的
equip, 🛠️, 装备；配备；使有能力
machinery, ⚙️, 机械；机构
sophisticated, 🛰️, 老练的；精密的；尖端的
calibre, 📏, 质量；才干；能力；口径
flash, ⚡, 闪光；闪耀；闪光灯
slat, 🪜, 板条；狭板
cinematography, 🎥, 电影摄影术
cork, 🍾, 软木塞
data, 📊, 数据；资料
conditioner, 🧴, 护发素；调节物；调节器
earthwork, 🏗️, 土方（工程）
clutch, ⚙️, 离合器；控制；抓住
chart, 📊, 图表；海图；记录
mercury, 🌡️, 水银
backbone, 🦴, 脊椎；骨干；支柱
compatible, 🔌, 兼容的；合得来的
crank, 🕹️, 曲柄；曲轴
steam, 💨, 蒸汽；发出蒸汽
fibre, 🧵, 纤维
pulverise, 🌪️, 碾磨成粉，粉碎
chip, 💾, 碎片；芯片；瑕疵
polish, ✨, 磨光；擦亮；润饰
format, 💾, 使格式化；版式
volt, ⚡, 伏特
screw, 🔩, 用螺钉固定；螺丝
battery, 🔋, 电池（组）；蓄电池
emboss, 🖼️, 使……凸出；压花
sulphuric acid, 🧪, 硫酸
fasten, 🪢, 扎牢；扣住
simulate, 🎮, 模仿；模拟；假装
artificial, 🤖, 人工的；人造的
optical, 👓, 视力的；光学的
spade, ♠️, 铁锹
filter, ☕, 过滤器；过滤
tunnel, 🚇, 隧道；地道
wax, 🕯️, 蜡；蜂蜡；上蜡
telescope, 🔭, 望远镜
static, ⚡, 静电；静止的；静态的
scale, ⚖️, 规模；天平；刻度；比例
mechanic, 🧑‍🔧, 机修工；力学
spark, ✨, 火花
appliance, 🔌, 用具；器具
texture, 🧶, 质地；纹理；口感
sundial, ☀️, 日规；日晷
microbiology, 🔬, 微生物学
stainless, 🪙, 不锈的；无污点的
structure, 🏗️, 结构；构造；建筑物
relay, 📡, 接力赛；中继设备；传送
rim, ⭕, 边；缘
biometrics, 🆔, 生物测定学
acoustic, 🔊, 原声的；声音（学）的
fabrication, 🏭, 捏造，伪造；制作
shorthand, ✍️, 速记法；速记
