word,emoji,desc
first,1️⃣st,第一
second,2️⃣nd,第二
third,3️⃣rd,第三
fourth,4️⃣th,第四
fifth,5️⃣th,第五
sixth,6️⃣th,第六
seventh,7️⃣th,第七
eighth,8️⃣th,第八
ninth,9️⃣th,第九
tenth,🔟th,第十
eleventh,1️⃣1️⃣th,第十一
twelfth,1️⃣2️⃣th,第十二
thirteenth,1️⃣3️⃣th,第十三
fourteenth,1️⃣4️⃣th,第十四
fifteenth,1️⃣5️⃣th,第十五
sixteenth,1️⃣6️⃣th,第十六
seventeenth,1️⃣7️⃣th,第十七
eighteenth,1️⃣8️⃣th,第十八
nineteenth,1️⃣9️⃣th,第十九
twentieth,2️⃣0️⃣th,第二十
twenty-first,2️⃣1️⃣st,第二十一
twenty-second,2️⃣2️⃣nd,第二十二
twenty-third,2️⃣3️⃣rd,第二十三
twenty-fourth,2️⃣4️⃣th,第二十四
twenty-fifth,2️⃣5️⃣th,第二十五
twenty-sixth,2️⃣6️⃣th,第二十六
twenty-seventh,2️⃣7️⃣th,第二十七
twenty-eighth,2️⃣8️⃣th,第二十八
twenty-ninth,2️⃣9️⃣th,第二十九
thirtieth,3️⃣0️⃣th,第三十
thirty-first,3️⃣1️⃣st,第三十一
