word,emoji,desc
chronic, ⏳, （疾病）慢性的；积习难改的
physician, 🩺, 内科医生，医师
heal, 🩹, 治愈，康复；调停
cardiovascular, ❤️, 心血管的
intestine, 🧬, 肠
nutrition, 🥗, 营养；营养学
symptom, 🤒, 症状；征候；征兆
arthritis, 🦴, 关节炎
muscle, 💪, 肌肉
vaccine, 💉, 疫苗
cholesterol, 🩸, 胆固醇
medication, 💊, 药；药物
clinical, 🏥, 临床的
hormone, 🧪, 激素
calorie, 🍎, 卡（路里），大卡
diagnose, 🔬, 诊断；判断
iris, 👁️, 虹膜
delinquency, 🧠, 失职；行为不良
psychiatric, 🧠, 精神病的；治疗精神病的
medical, 🏥, 医学的，医疗的；内科的
sanitary, 🧼, 清洁的；保健的；卫生的
sensation, 🧠, 感觉能力；感觉；知觉；轰动
kidney, 🧼, 肾，肾脏
curative, 💊, 有疗效的；医疗的
asthma, 🫁, 哮喘症
fatal, 💀, 致命的；重大的
treatment, 🩹, 治疗；对待
disorder, 🧠, 混乱；失调；疾病
toxin, 🧪, 毒素，毒质
expectancy, ⏳, 预期寿命
splint, 🩹, 夹板；用夹板夹
gland, 🧪, 腺
internist, 🩺, 内科医生
stammer, 🗣️, 结巴；口吃
appetite, 🍽️, 食欲，胃口；欲望
deficiency, 📉, 缺乏，不足
sensory, 🧠, 感觉的；感官的
thirsty, 🥤, 口渴的；饥渴的
surgery, 🔪, 外科学；外科手术；手术室
scratch, 🩹, 划伤；抓痕；抓
sinew, 💪, 肌腱；力量的来源
germ, 🦠, 微生物，细菌；起源
foetus, 👶, 胎儿；胚胎
incapacitate, ♿, 使无能力；使伤残；使无资格
affect, 🤒, 影响；感染
ailment, 🤒, （不严重的）疾病
fracture, 🦴, 断裂；折断；骨折
pregnancy, 🤰, 怀孕；怀孕期
well-being, 🧘, 安宁；福利
epidemic, 😷, 流行性的；流行病
toxic, ☠️, 有毒的；中毒的
liquor, 🥃, 烈性酒；含酒精饮料
pudding, 🍮, 布丁
spice, 🌶️, 香料，调味品
thigh, 🦵, 大腿
veterinarian, 🐾, 兽医
glutamate, 🧂, 谷氨酸；谷酸盐
overweight, ⚖️, 超重的，过重的
allergy, 🤧, 过敏的
clot, 🩸, 凝块；凝结成块
fatigue, 😫, 疲劳，劳累
