word,emoji,desc
consortium, 🤝, 集团；财团；社团，协会
prosperous, 💰, 繁荣的，兴旺的；成功的
consumer, 🛍️, 消费者；用户
equity, ⚖️, 公平，公正
rig, 🏗️, 操纵，垄断；船桅装置；成套器械
wage, 💵, 工资；报酬
security, 🛡️, 安全，保障；抵押品；证券
item, 📦, 条款，项目；一则
finance, 🏦, 为……提供资金；财政，金融；财务情况
revenue, 💵, 收入；税收
shareholder, 👤, 股票持有人；股东
dividend, 🧧, 红利，股息；回报
entrepreneur, 💼, 企业家；承包人
corporate, 🏢, 团体的；共同的；法人的；公司的
city, 🏙️, 城市
building, 🏢, 建筑物
infrastructure, 🏗️, 基础结构，基础设施
intern, 🧑‍💻, 实习生；拘禁
bid, ⚖️, 出价；投标
credit, 💳, 记入贷方；把……归于；信用贷款；学分
distribution, 🚚, 分发，分配；配给物
administration, 🏛️, 管理；行政
purchase, 🛒, 买，购买；购买的物品
subscription, 📝, 订阅；订购；签字
benefit, 🎁, 使受益；益处；救济金
redundant, ✂️, 被解雇的；多余的；累赘的
property, 🏘️, 财产；所有物；性质；房产
advertisement, 📢, 广告；公告
payment, 💸, 支付；支付的款项
administrative, 📁, 管理的；行政的
marketplace, 🏪, 市场；集市
sector, 🍰, 部分，部门；防御地段
furnish, 🛋️, 布置；供应；装备
incoming, 📥, 进来的；收入
publicity, 📣, 宣传；公众的注意；名声
teamwork, 👥, 协力合作；团队合作
staff, 🧑‍💼, 全体职工；为……配备人员
promotion, 🆙, 提升；晋级；宣传
fund, 💰, 基金；专款；存款
manufacturer, 🏭, 制造商；制造厂
specification, 📋, 规格，规范；说明书
schedule, 🗓️, 安排；列入；时刻表
arrangement, 🗓️, 安排；准备工作
offset, ⚖️, 抵消，补偿
supervisor, 🧑‍🏫, 监督人；管理人；主管
asset, 💎, 财产；优点
swap, 🔄, 交换
contract, 📜, 契约，合同；缩小
headquarters, 🏢, 总部，总公司
retailer, 🏪, 零售商人；传播者
turnover, 📊, 营业额；人事变动率；货物周转率
brand, 🏷️, 商标；品牌
hire, 🤝, 租用；雇用
stake, 🪵, 桩；利害关系；股份；赌金
reward, 🏆, 奖赏；报酬
allocation, 📍, 配给，分配；安置
service, 🛠️, 服务；公共设施；行政部门
recipient, 📩, 接受者
rival, 🥊, 竞争者；竞争对手；比得上
memorandum, 🗒️, 备忘录；摘要
coffer, 🗄️, 保险箱
expire, ⌛, 期满；终止
statement, 📄, 陈述；声明；报表
amount, 🔢, 总额；合计
freight, 🚢, 货物；运送
request, ❓, 要求；请求
campaign, 📢, 参加活动；战役；活动
subsidiary, 🏢, 子公司；附属机构
ration, 🍱, 配给量；定量供应
debt, 💸, 债，债务
nominal, 🪙, 名义上的；微不足道的
register, 📒, 注册；登记
gross, 📉, 总的，毛的
coupon, 🎟️, 优惠券；票证
shilling, 🪙, 先令
blueprint, 🗺️, 蓝图；方案
occupation, 👷, 占领；职业；消遣
overhead, 🏢, 企业管理费用；在头顶上的
catalogue, 📖, 目录；系列
account, 📂, 说明；解释；账；账户
venture, 🎲, 敢于去；拿……冒险；风险投资
shortage, 📉, 不足，缺少
accreditation, 📜, 证明合格；鉴定合格
clerk, 🧑‍💻, 办事员；职员
provision, 📦, 供应；供应品；条款
reception, 🛎️, 接收；接待；招待会
refund, 💰, 退款；退还；偿付
consolidation, 🧱, 合并；巩固
goodwill, 🤝, 友好；善意；信誉
amass, 💰, 积聚
harness, 🏇, 控制，利用；马具
scheme, 📝, 计划；方案；体系
overwork, 😫, 使劳累过分；工作过度
flexitime, ⏰, 弹性工作制
oversee, 👁️, 监督；监视
retail, 🛍️, 零售
transaction, 💳, 办理；处理；交易
label, 🏷️, 贴标签于；标签；称号
guarantee, 🛡️, 保证；允诺；担保物
agency, 🏢, 机构；代理
employ, 🤝, 雇用；使用
industrialise, 🏭, 工业化
dock, ⚓, 靠码头；码头
exhibition, 🖼️, 展览；陈列
brochure, 📄, 小册子；说明书
multinational, 🌐, 多国的；跨国公司的
haul, 🚛, 用力拖；搬运
facility, 🏗️, 设备；设施；便利条件
shipment, 📦, 装运；运输；货物
discount, 🏷️, 折扣；漠视
pension, 👴, 养老金；抚恤金
maintenance, 🛠️, 维持；保养；抚养费
entrepreneurial, 💡, 创业的
mall, 🛍️, 购物中心
patent, 📜, 取得专利权；专利
