word,emoji,desc
desirable, ✨, 值得拥有的；合意的；有利的
subliminal, 🧠, 下意识的，潜意识的
inspiring, 💡, 鼓舞人心的；启发灵感的
deliberate, 🤔, 故意的；深思熟虑的；从容不迫的
implication, 🤐, 含意；暗示；暗指
absolute, 💯, 完全的，绝对的，纯粹的
ambiguous, ❓, 含糊其辞的；不明确的
potential, ⚡, 潜在的；可能的；潜力
ultimate, 🏆, 最后的，最终的；根本的；精华
persistent, ♾️, 坚持不懈的
inevitable, 🔄, 不可避免的，必然的
radical, ⚡, 根本的；激进的
subjective, 👤, 主观的
exact, 🎯, 精确的；准确的
barely, 🤏, 仅仅，几乎不；赤裸裸地
variety, 🌈, 品种，种类；变化，多样化
mutual, 🤝, 相互的；共同的
massive, 🐘, 大而重的；大量的；大规模的
merely, 🤏, 仅仅，只不过
impart, 📢, 给予，赋予；传授；告知
forfeit, 💸, 丧失，失去；罚款；代价
intermediate, ⏏️, 中间的，中级的
eternal, ♾️, 永恒的
optional, 🔘, 可选择的，非强制的
enable, ✅, 使能够，使成为可能
yield, 🌾, 产量；出产；放弃
fair, ⚖️, 公平的
regional, 📍, 局部范围的；区域性的
secure, 🔒, 得到，获得；防护；安全的
reject, ❌, 拒绝；不合格品
seek, 🔍, 寻找；探索；追求
effort, ⚡, 努力；成就
point, 📍, 尖端；条款；分数；观点
review, 📑, 回顾；自习；评论
series, 🔢, 一系列；连续；丛书
margin, 📏, 差额；页边空白；边缘；幅度
distraction, 🔕, 分散注意力的事；娱乐
maturity, 🍎, 成熟；完善；到期
refer, 📖, 参考；查阅；提到；提交
interview, 💬, 接见；会话；面试
extent, 📏, 范围；面积；程度
stint, 📉, 定量；限额
surge, 🌊, 蜂拥而出；波动；猛增
justify, ⚖️, 证明……为正当的；为……辩护
score, 📈, 得分；评分；获胜；二十
persuade, 🗣️, 说服，劝说；使相信
denote, 📝, 表示，指示；意味着
chink, 🕳️, 裂缝，裂口；一缕光；叮当声
resource, ⚒️, 资源；财力；应付办法
entire, 💯, 全部的，整个的
epitomise, 🌟, 集中体现；概括
summit, 🏔️, 最高点；峰顶
ensure, ✅, 确保，保证；担保
superior, 🥇, 上级的；优越的；优良的
tender, 🧸, 嫩的；脆弱的；温柔的
willing, 🙋, 愿意的，乐意的
perform, 🎭, 履行；执行；完成；表演
decisive, 🗡️, 决定性的；果断的
substantial, 🧱, 可观的；大量的；实质的
viewpoint, 👁️, 观点，看法
routine, 🔄, 例行公事；惯例；常规
slight, 🤏, 轻微的；纤细的；轻视
genetic, 🧬, 遗传的
