word,emoji,desc
emperor, 👑, 皇帝；君主
hierarchy, 📐, 领导层；层次，等级
regent, 🏰, 摄政者
immigration, 🛂, 外来的移民；移居
leadership, 🗣️, 领导，领导层；领导能力
invasion, ⚔️, 入侵，侵略
commonwealth, 🇬🇧, 英联邦；联合体
tradition, 🏮, 传统；惯例
convention, 🤝, 大会；惯例；常规；习俗；公约
resident, 🏠, 居民；住户；常驻的
ambassador, 👔, 大使；使节
authority, 👮, 权力；管辖权；官方；权威
citizenship, 🆔, 公民身份
parliament, 🏛️, 议会；国会
legislation, ⚖️, 法律，法规；立法
pirate, 🏴‍☠️, 侵犯版权者；海盗
censor, ✂️, 审查，检查；检查员
tenant, 🔑, 承租人；房客；佃户
urban, 🏙️, 都市的；住在都市的
turret, 🏰, 塔楼；角楼
laundry, 🧺, 洗衣房；待洗衣服
postcode, 📮, 邮政编码
verdict, 👨‍⚖️, 裁定；定论；判断
fraud, 🕵️, 诈骗罪；骗子；冒牌货
celebrity, 🌟, 名声；知名人士
blanket, 🛌, 毯子；厚的覆盖物
obligation, ⚖️, 义务，职责，责任
poll, 🗳️, 民意测验；政治选举
status, 👑, 地位；身份；状况
document, 📄, 公文；文件；证件
mattress, 🛏️, 床垫
intervene, 🗣️, 干涉，干扰；介于其间
reunion, 🤝, 重聚；团聚；聚会
homestay, 🏠, 在当地居民家居住的时期
pledge, 🤝, 正式承诺；发誓；抵押；誓约
union, 🤝, 协会；工会；同盟；联合
responsibility, 👤, 责任；责任心；职责
conform, 📏, 遵守；服从；适应；一致
witness, 👁️, 证据；目击者；为……作证
private, 🔒, 私人的；私下的；私立的
referee, ⚖️, 裁判；仲裁，调停；证明人
conversation, 💬, 会话；谈话
humanity, 🌍, 人类；人性；人道；人文学科
staircase, 🪜, 楼梯
barrier, 🚧, 栅栏；关卡；障碍；屏障
justice, ⚖️, 正义，公正；司法
dweller, 🏠, 居住者，居民
coverage, 📰, 新闻报道；覆盖范围
enforce, 👮, 实施，执行；强制
tribute, 📜, 贡品；颂词；称赞
archive, 📂, 档案；档案室；存档
primitive, 🏹, 原始的；上古的；简单的；原始人
legal, ⚖️, 法律的；合法的
intrusion, 🚪, 闯入；打搅；侵扰
declaration, 📜, 宣布；宣言；声明
native, 🏹, 当地（人）的；本地人
controversy, 🗣️, 争论，辩论，论战
loyalty, 🤝, 忠诚，忠心
signature, ✍️, 签名，签字；签署
trinket, 💍, 小装饰品；不值钱的珠宝
costume, 🎭, 戏装；成套服装
juvenile, 🧒, 少年的；幼稚的；未成年人
badge, 🎖️, 徽章；标记；象征
conquest, ⚔️, 征服；战利品
cloakroom, 🧥, 衣帽间；洗手间
population, 👥, 人口
historic, 📜, 有历史意义的；历史的
president, 👔, 总统；校长；会长
gender, ⚧️, 性别；（语法中的）性
donate, 🎁, 捐赠；赠送
defence, 🛡️, 防御，保护；辩护；答辩
internationalist, 🌐, 国际主义者
federal, 🏛️, 联邦的；联盟的
participation, 🙋, 分享；参与
stitch, 🪡, 缝；缝合；一针
burglar, 🥷, 窃贼
parental, 👪, 父的；母的；父母的
establish, 🏗️, 建立；确立；安置
illegal, 🚫, 不合法的，违法的
veil, 👰, 面纱；遮蔽物；掩饰
cultural, 🎨, 文化的；人文的
morality, ⚖️, 道德，美德
congress, 🏛️, 大会；国会；议会
fashion, 👗, 方式；流行款式；时装
country, 🌍, 国家
city, 🏙️, 城市
street, 🛣️, 街道
house, 🏡, 房子
people, 👥, 人们
flat, 🏠, 公寓
heritage, 🏛️, 遗产；传统
newsletter, 📧, 时事通讯，业务通讯
periodical, 📚, 期刊，杂志
civil, ⚖️, 国民的；民用的；政府的
