word,emoji,desc
philosophy, 🎓, 哲学；哲理
guidance, 💡, 指引，指导
scholarship, 📜, 奖学金；学问，学识
doctorate, 🎓, 博士学位
internship, 🧑‍💼, 实习身份；实习医师
assignment, 📝, 任务，工作
transcript, 📄, 抄本，副本；文字记录
thesis, 📑, 论文
curriculum, 📚, 课程；全部课程
academic, 🏫, 学院的；学术的；学者
bibliography, 📚, 参考书目；书目；文献学
literacy, 📖, 有文化；有教养；读写能力
nurture, 🌱, 培养；滋养；营养品
literature, 📚, 文学（作品）；文献
theoretical, 💡, 理论（上）的
formulation, 📝, 系统阐述；明确表达；规划
collate, 📂, 对照；核对；整理
interpretation, 🗣️, 口译；解释；诠释
trimester, 📅, 三月期；学期
auditorium, 🏛️, 礼堂；观众席
tutorial, 🧑‍🏫, 大学导师的辅导课；指南
reference, 📖, 参考，参考书目；提及
examine, 📝, 检查；调查，研究；测验
illustrate, 🎨, 说明；举例说明；作插图说明
criticise, 🗣️, 批评，非难；评论
orientate, 🧭, 使适应，使熟悉；定向
acrobat, 🤸, 特技演员；杂技演员
aesthetic, 🎨, 美学的；审美的
specialise, 🎓, 专门研究，专攻
recommendation, ✉️, 推荐；推荐信；建议
graph, 📉, 图，图表，曲线图
assistantship, 🎓, 半工半读助学金；研究生助教奖学金
diploma, 📜, 毕业文凭；资格证书
orientation, 🧭, 定位；方向；情况介绍；培训
graduate, 🎓, 毕业生；研究生；毕业
semester, 📅, 学期
instruct, 🧑‍🏫, 教导；指示
vocational, 🛠️, 职业的，业务的
summary, 📝, 摘要，概要
fact sheet, 📄, 资料页
lexicographer, 📖, 词典编纂者
tome, 📚, 册；大部头书；巨著
assessment, 📝, 判定，评定；看法
booklet, 📖, 小册子
comment, 💬, 注释；评论；意见
emphasize, 🗣️, 强调，着重
manual, 📖, 手册，指南
resit, ✍️, 重修；补考
institute, 🏫, 研究所；学院
serial, 📺, 连续剧
chancellor, 🎓, 大臣；总理；大学校长
modernism, 🎨, 现代主义
sociology, 👥, 社会学
engrave, ✍️, 雕刻；铭记
recreate, 🎨, 再现；再创造
concert, 🎶, 音乐会；演奏会
skim, 📖, 撇去；浏览；略读
preface, 📖, 序言；引言
leaflet, 📄, 传单；小册子
architect, 🏛️, 建筑师；设计师；创造者
graphology, ✍️, 笔迹学，笔相学
transcription, 📝, 抄写，誊写；抄本
bilingual, 🗣️, （说）两种语言的
introspection, 🧠, 内省，反省
elicitation, 🗣️, 引出，诱出
informant, 🗣️, 提供消息或情报的人
undergraduate, 🎓, 大学本科生
enrolment, 📝, 登记（人数），注册（人数）
